,AKT.pS473,AKT.pT308,AMPK.PT172,cJUN.pS73,EGFR.PY1173,GSK3.pS21,JNK.PT183,LKB1.pS428,MAPK.pT202,MEK1-2.PS217,mTOR.pS2448,p38.PT180,p70S6K.pT389,p90RSK.pT359,PDK1.pS241,PI3K,STAT3.pT727,STAT3.pY705,STAT5.pY964,TSC2.PT1462
MDA-MB-468 0ng EGF (60 min) (1),0.7053187,0.1286624,0.0076750,0.0298956,0.0083096,1.0848219,0.0047491,0.0140175,0.0786618,0.1690897,0.2859782,0.0110575,0.0394065,0.0277773,0.1163962,0.1408211,0.1889230,0.0154502,0.0386882,0.1999511
MDA-MB-468 0ng EGF (60 min) (2),0.6894543,0.1154386,0.0083644,0.0283883,0.0102350,1.0177850,0.0071249,0.0110666,0.0848278,0.1644704,0.2574445,0.0145755,0.0403249,0.0338902,0.1035167,0.1242155,0.1757436,0.0222743,0.0423786,0.1931054
MDA-MB-468 0ng EGF (60 min) (3),0.6824265,0.1166870,0.0051592,0.0335140,0.0106559,0.9919912,0.0033236,0.0144202,0.0731592,0.1620268,0.2650256,0.0109030,0.0381581,0.0350504,0.1102855,0.1276951,0.1937314,0.0225598,0.0350541,0.2017889
MDA-MB-468 5ng EGF (60 min) (1),1.2630951,0.2292943,0.0032459,0.0554184,0.0106621,1.0787260,0.0043653,0.0207484,0.3325270,0.2330603,0.1807371,0.0118978,0.0556114,0.0581342,0.0943252,0.0878938,0.2291770,0.0191351,0.0428956,0.1205398
MDA-MB-468 5ng EGF (60 min) (2),1.3600263,0.2943593,0.0043403,0.0581743,0.0105046,1.1783735,0.0069033,0.0171750,0.3421343,0.2911732,0.2313719,0.0142123,0.0647794,0.0635915,0.1016274,0.1098946,0.2748238,0.0219688,0.0474271,0.1979675
MDA-MB-468 5ng EGF (60 min) (3),1.3525646,0.2755011,0.0049332,0.0487487,0.0103918,1.1822236,0.0069865,0.0181052,0.3093048,0.2462921,0.2208692,0.0137845,0.0542995,0.0603415,0.0941042,0.0976924,0.2664259,0.0168151,0.0382414,0.1778460
MDA-MB-468 10ng EGF (60 min) (1),1.4982817,0.3011320,0.0055659,0.0735343,0.0271880,1.0364473,0.0071068,0.0170964,0.3674383,0.2685280,0.1978983,0.0122917,0.0611580,0.0556054,0.0911297,0.0898564,0.2556304,0.0288908,0.0520261,0.1584866
MDA-MB-468 10ng EGF (60 min) (2),1.9289917,0.3453708,0.0051793,0.0643963,0.0233939,1.1288964,0.0078024,0.0176261,0.4161271,0.2554476,0.2805832,0.0137331,0.0643359,0.0600883,0.1000269,0.1081297,0.2972187,0.0290468,0.0503148,0.1903466
MDA-MB-468 10ng EGF (60 min) (3),1.8536441,0.3437306,0.0046392,0.0736619,0.0199398,1.0643848,0.0077598,0.0184759,0.2488922,0.2835906,0.2361976,0.0128610,0.0764903,0.0817206,0.1018511,0.1071058,0.2929087,0.0384270,0.0665799,0.1981746
MDA-MB-468 20ng EGF (60 min) (1),1.9417138,0.3316873,0.0046648,0.0655801,0.0683679,0.9975675,0.0089271,0.0180213,0.3563146,0.2627195,0.2370758,0.0144895,0.0618812,0.0647993,0.0863058,0.0968511,0.2505247,0.0872107,0.0898772,0.1744142
MDA-MB-468 20ng EGF (60 min) (2),1.6328872,0.4196615,0.0027957,0.0730861,0.0620297,0.9176457,0.0051050,0.0202763,0.3498934,0.2675915,0.2774714,0.0143658,0.0617566,0.0742814,0.0904128,0.1015428,0.2474626,0.1078040,0.0947067,0.1747882
MDA-MB-468 20ng EGF (60 min) (3),1.6692659,0.3508797,0.0059078,0.0808281,0.0732226,0.7893553,0.0092675,0.0216386,0.3939448,0.2581651,0.2603411,0.0143459,0.0637930,0.0697228,0.0945434,0.0950747,0.2178532,0.1031019,0.0891472,0.1712829
